nodeID_from,nodeID_to,mode,line,year
5,9,heavy_rail,Tunnelbana - 14,1973
6,8,heavy_rail,Tunnelbana - 14,1964
7,8,heavy_rail,Tunnelbana - 14,1965
7,10,heavy_rail,Tunnelbana - 14,1965
9,10,heavy_rail,Tunnelbana - 14,1973
11,12,heavy_rail,Tunnelbana - 14,1978
11,5,heavy_rail,Tunnelbana - 14,1975
12,13,heavy_rail,Tunnelbana - 14,1978
13,14,heavy_rail,Tunnelbana - 14,1978
15,23,heavy_rail,Tunnelbana - 19,1952
15,24,heavy_rail,Tunnelbana - 19,1952
16,26,heavy_rail,Tunnelbana - 19,1952
16,25,heavy_rail,Tunnelbana - 19,1952
17,37,heavy_rail,Tunnelbana - 19,1957
17,18,heavy_rail,Tunnelbana - 19,1952
18,19,heavy_rail,Tunnelbana - 19,1952
19,20,heavy_rail,Tunnelbana - 19,1952
20,21,heavy_rail,Tunnelbana - 19,1952
21,22,heavy_rail,Tunnelbana - 19,1952
22,23,heavy_rail,Tunnelbana - 19,1952
24,25,heavy_rail,Tunnelbana - 19,1952
26,27,heavy_rail,Tunnelbana - 19,1952
27,28,heavy_rail,Tunnelbana - 19,1952
28,29,heavy_rail,Tunnelbana - 19,1956
29,30,heavy_rail,Tunnelbana - 19,1956
30,31,heavy_rail,Tunnelbana - 19,1958
31,32,heavy_rail,Tunnelbana - 19,1958
33,34,heavy_rail,Tunnelbana - 19,1954
34,36,heavy_rail,Tunnelbana - 19,1951
35,39,heavy_rail,Tunnelbana - 19,1951
35,38,heavy_rail,Tunnelbana - 19,1957
36,39,heavy_rail,Tunnelbana - 19,1951
37,38,heavy_rail,Tunnelbana - 19,1957
40,45,heavy_rail,Tunnelbana - 10,1975
40,44,heavy_rail,Tunnelbana - 10,1975
41,42,heavy_rail,Tunnelbana - 10,1977
41,45,heavy_rail,Tunnelbana - 10,1977
43,44,heavy_rail,Tunnelbana - 10,1975
43,46,heavy_rail,Tunnelbana - 10,1985
46,47,heavy_rail,Tunnelbana - 10,1985
47,48,heavy_rail,Tunnelbana - 10,1985
48,49,heavy_rail,Tunnelbana - 10,1985
50,51,heavy_rail,Tunnelbana - 10,1985
50,49,heavy_rail,Tunnelbana - 10,1985
51,52,heavy_rail,Tunnelbana - 10,1975
52,53,heavy_rail,Tunnelbana - 10,1975
54,62,heavy_rail,Tunnelbana - 17,1952
54,63,heavy_rail,Tunnelbana - 17,1952
55,64,heavy_rail,Tunnelbana - 17,1952
56,74,heavy_rail,Tunnelbana - 17,1964
56,57,heavy_rail,Tunnelbana - 17,1952
57,58,heavy_rail,Tunnelbana - 17,1952
58,59,heavy_rail,Tunnelbana - 17,1952
59,60,heavy_rail,Tunnelbana - 17,1952
60,61,heavy_rail,Tunnelbana - 17,1952
61,62,heavy_rail,Tunnelbana - 17,1952
63,64,heavy_rail,Tunnelbana - 17,1952
65,73,heavy_rail,Tunnelbana - 17,1951
65,69,heavy_rail,Tunnelbana - 17,1951
66,68,heavy_rail,Tunnelbana - 17,1958
66,67,heavy_rail,Tunnelbana - 17,1958
67,69,heavy_rail,Tunnelbana - 17,1958
70,71,heavy_rail,Tunnelbana - 17,1958
71,68,heavy_rail,Tunnelbana - 17,1958
72,76,heavy_rail,Tunnelbana - 17,1951
72,75,heavy_rail,Tunnelbana - 17,1964
73,76,heavy_rail,Tunnelbana - 17,1951
74,75,heavy_rail,Tunnelbana - 17,1964
77,84,heavy_rail,Tunnelbana - 18,1952
78,89,heavy_rail,Tunnelbana - 18,1964
78,79,heavy_rail,Tunnelbana - 18,1952
79,80,heavy_rail,Tunnelbana - 18,1952
80,81,heavy_rail,Tunnelbana - 18,1952
81,82,heavy_rail,Tunnelbana - 18,1952
82,83,heavy_rail,Tunnelbana - 18,1952
83,84,heavy_rail,Tunnelbana - 18,1952
85,88,heavy_rail,Tunnelbana - 18,1951
85,86,heavy_rail,Tunnelbana - 18,1951
87,91,heavy_rail,Tunnelbana - 18,1951
87,90,heavy_rail,Tunnelbana - 18,1964
88,91,heavy_rail,Tunnelbana - 18,1951
89,90,heavy_rail,Tunnelbana - 18,1964
92,94,heavy_rail,Tunnelbana - 13,1964
93,94,heavy_rail,Tunnelbana - 13,1965
93,95,heavy_rail,Tunnelbana - 13,1965
96,97,heavy_rail,Tunnelbana - 13,1967
96,95,heavy_rail,Tunnelbana - 13,1967
97,98,heavy_rail,Tunnelbana - 13,1967
99,104,heavy_rail,Tunnelbana - 11,1975
99,103,heavy_rail,Tunnelbana - 11,1975
100,101,heavy_rail,Tunnelbana - 11,1977
100,104,heavy_rail,Tunnelbana - 11,1977
102,103,heavy_rail,Tunnelbana - 11,1975
105,107,ferry,Båt - 82,0
106,107,ferry,Båt - 82,0
