,nodeID_from,nodeID_to,mode,line,year
0,0,1,light_rail,Sydney Light Rail - L1,1997
1,1,2,light_rail,Sydney Light Rail - L1,1997
2,2,3,light_rail,Sydney Light Rail - L1,1997
3,3,4,light_rail,Sydney Light Rail - L1,1997
4,4,5,light_rail,Sydney Light Rail - L1,1997
5,4,9,light_rail,Sydney Light Rail - L1,2000
6,5,6,light_rail,Sydney Light Rail - L1,1997
7,6,7,light_rail,Sydney Light Rail - L1,1997
8,7,8,light_rail,Sydney Light Rail - L1,1997
9,8,9,light_rail,Sydney Light Rail - L1,2000
10,10,9,light_rail,Sydney Light Rail - L1,2000
11,11,12,light_rail,Sydney Light Rail - L1,2000
12,11,10,light_rail,Sydney Light Rail - L1,2000
13,12,13,light_rail,Sydney Light Rail - L1,2000
14,13,14,light_rail,Sydney Light Rail - L1,2014
15,14,15,light_rail,Sydney Light Rail - L1,2014
16,15,16,light_rail,Sydney Light Rail - L1,2014
17,16,17,light_rail,Sydney Light Rail - L1,2014
18,17,18,light_rail,Sydney Light Rail - L1,2014
19,18,19,light_rail,Sydney Light Rail - L1,2014
20,19,20,light_rail,Sydney Light Rail - L1,2014
21,20,21,light_rail,Sydney Light Rail - L1,2014
22,21,22,light_rail,Sydney Light Rail - L1,2014
23,23,24,light_rail,Sydney Light Rail - L2,2019
24,24,25,light_rail,Sydney Light Rail - L2,2019
25,25,26,light_rail,Sydney Light Rail - L2,2019
26,26,27,light_rail,Sydney Light Rail - L2,2019
27,27,28,light_rail,Sydney Light Rail - L2,2019
28,28,29,light_rail,Sydney Light Rail - L2,2019
29,29,30,light_rail,Sydney Light Rail - L2,2019
30,30,31,light_rail,Sydney Light Rail - L2,2019
31,32,31,light_rail,Sydney Light Rail - L2,2019
32,32,33,light_rail,Sydney Light Rail - L2,2019
33,33,34,light_rail,Sydney Light Rail - L2,2019
34,34,35,light_rail,Sydney Light Rail - L2,2019
35,35,36,light_rail,Sydney Light Rail - L2,2019
36,37,38,light_rail,Sydney Light Rail - L3,999999
37,38,39,light_rail,Sydney Light Rail - L3,999999
38,39,40,light_rail,Sydney Light Rail - L3,999999
39,40,41,light_rail,Sydney Light Rail - L3,999999
40,42,43,light_rail,Sydney Light Rail - L3,2019
