,nodeID_from,nodeID_to,mode,line,year
0,0,1,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2010
1,1,2,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
2,2,10,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
3,3,4,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
4,4,5,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
5,5,6,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
6,7,9,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
7,8,9,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
8,8,10,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
9,6,8,tram,Hillsborough Area Regional Transit (HART) - TECO Line,2002
