nodeID,nodeLabel,latitude,longitude,mode,year
0,Whiting,-82.45676867097445,27.94522890034081,tram,2010.0
1,Dick Greco Plaza,-82.45484238402125,27.94156748890657,tram,2002.0
2,HSBC,-82.4519736694195,27.941924053462373,tram,2002.0
3,Centennial Park,-82.43728329600928,27.961008456848134,tram,2002.0
4,Centro Ybor,-82.44127177736024,27.961016668343277,tram,2002.0
5,Streetcar Society,-82.44328906138352,27.961033090555148,tram,2002.0
6,Cadrecha Plaza,-82.445469735897,27.96064710707165,tram,2002.0
7,Publix,-82.44544640885806,27.95158755533842,tram,2002.0
8,Cumberland Avenue,-82.44564021447574,27.945749308733895,tram,2002.0
9,York Street,-82.44553071145472,27.948149789757508,tram,2002.0
10,Amalie Arena,-82.44849394923357,27.943475903157577,tram,2002.0
11,Whiting,-82.45676867097445,27.94522890034081,None,2010.0
12,Dick Greco Plaza,-82.45484238402125,27.94156748890657,None,2002.0
13,HSBC,-82.4519736694195,27.941924053462373,None,2002.0
14,Centennial Park,-82.43728329600928,27.961008456848134,None,2002.0
15,Centro Ybor,-82.44127177736024,27.961016668343277,None,2002.0
16,Streetcar Society,-82.44328906138352,27.961033090555148,None,2002.0
17,Cadrecha Plaza,-82.445469735897,27.96064710707165,None,2002.0
18,Publix,-82.44544640885806,27.95158755533842,None,2002.0
19,Cumberland Avenue,-82.44564021447574,27.945749308733895,None,2002.0
20,York Street,-82.44553071145472,27.948149789757508,None,2002.0
21,Amalie Arena,-82.44849394923357,27.943475903157577,None,2002.0
