nodeID_from,nodeID_to,mode,line,year
0,6,default,Tegal Subway - Biru,0
1,2,default,Tegal Subway - Biru,0
2,3,default,Tegal Subway - Biru,0
3,4,default,Tegal Subway - Biru,0
4,7,default,Tegal Subway - Biru,0
5,8,default,Tegal Subway - Biru,0
5,7,default,Tegal Subway - Biru,0
6,1,default,Tegal Subway - Biru,0
8,9,default,Tegal Subway - Biru,0
10,11,default,Tegal Subway - Abang,0
11,12,default,Tegal Subway - Abang,0
12,13,default,Tegal Subway - Abang,0
13,14,default,Tegal Subway - Abang,0
13,26,default,Tegal Subway - Abang,0
15,16,default,Tegal Subway - Abang,0
16,17,default,Tegal Subway - Abang,0
17,18,default,Tegal Subway - Abang,0
18,19,default,Tegal Subway - Abang,0
19,20,default,Tegal Subway - Abang,0
20,21,default,Tegal Subway - Abang,0
21,22,default,Tegal Subway - Abang,0
22,23,default,Tegal Subway - Abang,0
23,24,default,Tegal Subway - Abang,0
24,27,default,Tegal Subway - Abang,0
25,27,default,Tegal Subway - Abang,0
25,26,default,Tegal Subway - Abang,0
28,29,default,Tegal Subway - Ijo,0
29,30,default,Tegal Subway - Ijo,0
30,31,default,Tegal Subway - Ijo,0
31,34,default,Tegal Subway - Ijo,0
32,33,default,Tegal Subway - Ijo,0
32,34,default,Tegal Subway - Ijo,0
33,35,default,Tegal Subway - Ijo,0
35,36,default,Tegal Subway - Ijo,0
36,37,default,Tegal Subway - Ijo,0
37,34,default,Tegal Subway - Ijo,0
38,39,default,Tegal Subway - Kuning,0
39,40,default,Tegal Subway - Kuning,0
40,41,default,Tegal Subway - Kuning,0
41,42,default,Tegal Subway - Kuning,0
42,43,default,Tegal Subway - Kuning,0
43,44,default,Tegal Subway - Kuning,0
44,45,default,Tegal Subway - Kuning,0
45,46,default,Tegal Subway - Kuning,0
47,48,default,Tegal Subway - Coklat,0
48,49,default,Tegal Subway - Coklat,0
49,50,default,Tegal Subway - Coklat,0
50,54,default,Tegal Subway - Coklat,0
51,52,default,Tegal Subway - Coklat,0
52,53,default,Tegal Subway - Coklat,0
53,54,default,Tegal Subway - Coklat,0
55,56,default,Tegal Subway - Ungu,0
56,57,default,Tegal Subway - Ungu,0
57,58,default,Tegal Subway - Ungu,0
58,61,default,Tegal Subway - Ungu,0
59,61,default,Tegal Subway - Ungu,0
59,60,default,Tegal Subway - Ungu,0
62,63,default,Tegal Subway - Jambon,0
