nodeID_from,nodeID_to,mode,line,year
2,3,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
2,24,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
3,4,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
4,5,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
5,6,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
6,26,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
7,9,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1980
7,19,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
8,29,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
8,30,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1980
10,12,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
10,20,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
11,14,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
11,13,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
12,13,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
14,22,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
15,17,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
15,18,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
16,22,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
16,17,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
18,19,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
20,21,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
23,28,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
23,25,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
24,21,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
25,29,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1968
26,27,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
27,28,heavy_rail,Toronto Transit Commission Subway - Line 2 Bloor-Danforth,1966
