nodeID_from,nodeID_to,mode,line,year
0,6,heavy_rail,Métro - A,0
0,4,heavy_rail,Métro - A,0
1,11,heavy_rail,Métro - A,0
1,13,heavy_rail,Métro - A,0
2,5,heavy_rail,Métro - A,0
2,3,heavy_rail,Métro - A,0
4,14,heavy_rail,Métro - A,0
7,10,heavy_rail,Métro - A,0
8,9,heavy_rail,Métro - A,0
9,10,heavy_rail,Métro - A,0
11,15,heavy_rail,Métro - A,0
12,14,heavy_rail,Métro - A,0
12,3,heavy_rail,Métro - A,0
13,5,heavy_rail,Métro - A,0
15,16,heavy_rail,Métro - A,0
6,8,heavy_rail,Métro - A,0
5,3,heavy_rail,Métro - A,0
17,29,light_rail,Tramway - T1,0
18,30,light_rail,Tramway - T1,0
18,28,light_rail,Tramway - T1,0
19,20,light_rail,Tramway - T1,0
19,22,light_rail,Tramway - T1,0
21,31,light_rail,Tramway - T1,0
21,29,light_rail,Tramway - T1,0
22,23,light_rail,Tramway - T1,0
24,28,light_rail,Tramway - T1,0
25,34,light_rail,Tramway - T1,0
26,27,light_rail,Tramway - T1,0
27,31,light_rail,Tramway - T1,0
29,24,light_rail,Tramway - T1,0
32,36,light_rail,Tramway - T1,0
33,35,light_rail,Tramway - T1,0
34,33,light_rail,Tramway - T1,0
35,36,light_rail,Tramway - T1,0
37,42,light_rail,Tramway - T1,0
37,40,light_rail,Tramway - T1,0
38,39,light_rail,Tramway - T1,0
39,25,light_rail,Tramway - T1,0
40,43,light_rail,Tramway - T1,0
41,44,light_rail,Tramway - T1,0
44,43,light_rail,Tramway - T1,0
45,48,light_rail,Tramway - T1,0
45,51,light_rail,Tramway - T1,0
46,50,light_rail,Tramway - T1,0
47,52,light_rail,Tramway - T1,0
47,51,light_rail,Tramway - T1,0
49,51,light_rail,Tramway - T1,0
50,56,light_rail,Tramway - T1,0
53,55,light_rail,Tramway - T1,0
54,59,light_rail,Tramway - T1,0
54,57,light_rail,Tramway - T1,0
55,56,light_rail,Tramway - T1,0
57,58,light_rail,Tramway - T1,0
58,65,light_rail,Tramway - T1,0
60,61,light_rail,Tramway - T1,0
61,63,light_rail,Tramway - T1,0
62,63,light_rail,Tramway - T1,0
64,65,light_rail,Tramway - T1,0
64,62,light_rail,Tramway - T1,0
32,19,light_rail,Tramway - T1,0
23,30,light_rail,Tramway - T1,0
38,42,light_rail,Tramway - T1,0
47,46,light_rail,Tramway - T1,0
45,41,light_rail,Tramway - T1,0
53,54,light_rail,Tramway - T1,0
66,67,light_rail,Tramway - T2,0
66,69,light_rail,Tramway - T2,0
68,75,light_rail,Tramway - T2,0
68,70,light_rail,Tramway - T2,0
69,71,light_rail,Tramway - T2,0
70,76,light_rail,Tramway - T2,0
72,74,light_rail,Tramway - T2,0
72,71,light_rail,Tramway - T2,0
73,77,light_rail,Tramway - T2,0
77,76,light_rail,Tramway - T2,0
78,81,light_rail,Tramway - T2,0
78,84,light_rail,Tramway - T2,0
79,83,light_rail,Tramway - T2,0
80,85,light_rail,Tramway - T2,0
80,84,light_rail,Tramway - T2,0
82,84,light_rail,Tramway - T2,0
83,89,light_rail,Tramway - T2,0
86,88,light_rail,Tramway - T2,0
87,92,light_rail,Tramway - T2,0
87,90,light_rail,Tramway - T2,0
88,89,light_rail,Tramway - T2,0
90,91,light_rail,Tramway - T2,0
91,98,light_rail,Tramway - T2,0
93,94,light_rail,Tramway - T2,0
94,96,light_rail,Tramway - T2,0
95,96,light_rail,Tramway - T2,0
97,98,light_rail,Tramway - T2,0
97,95,light_rail,Tramway - T2,0
75,74,light_rail,Tramway - T2,0
80,79,light_rail,Tramway - T2,0
78,73,light_rail,Tramway - T2,0
86,87,light_rail,Tramway - T2,0
