,nodeID_from,nodeID_to,mode,line,year
0,0,51,light_rail,Tramvia - 4,2005.0
1,1,41,light_rail,Tramvia - 4,1994.0
2,2,45,light_rail,Tramvia - 4,1994.0
3,2,41,light_rail,Tramvia - 4,1994.0
4,3,44,light_rail,Tramvia - 4,1994.0
5,3,4,light_rail,Tramvia - 4,1994.0
6,4,46,light_rail,Tramvia - 4,1994.0
7,5,16,light_rail,Tramvia - 4,1994.0
8,6,23,light_rail,Tramvia - 4,1994.0
9,6,12,light_rail,Tramvia - 4,1994.0
10,7,14,light_rail,Tramvia - 4,1994.0
11,7,13,light_rail,Tramvia - 4,1994.0
12,8,22,light_rail,Tramvia - 4,1994.0
13,8,5,light_rail,Tramvia - 4,1994.0
14,9,18,light_rail,Tramvia - 4,1994.0
15,9,16,light_rail,Tramvia - 4,1994.0
16,10,17,light_rail,Tramvia - 4,1994.0
17,11,19,light_rail,Tramvia - 4,1994.0
18,11,17,light_rail,Tramvia - 4,1994.0
19,12,20,light_rail,Tramvia - 4,1994.0
20,13,15,light_rail,Tramvia - 4,1994.0
21,21,47,light_rail,Tramvia - 4,1994.0
22,22,15,light_rail,Tramvia - 4,1994.0
23,24,25,light_rail,Tramvia - 4,1994.0
24,25,14,light_rail,Tramvia - 4,1994.0
25,26,30,light_rail,Tramvia - 4,1994.0
26,27,33,light_rail,Tramvia - 4,1994.0
27,28,31,light_rail,Tramvia - 4,1994.0
28,29,32,light_rail,Tramvia - 4,1994.0
29,29,26,light_rail,Tramvia - 4,1994.0
30,30,31,light_rail,Tramvia - 4,1994.0
31,33,31,light_rail,Tramvia - 4,1994.0
32,34,32,light_rail,Tramvia - 4,1994.0
33,35,37,light_rail,Tramvia - 4,1994.0
34,35,56,light_rail,Tramvia - 4,2005.0
35,36,53,light_rail,Tramvia - 4,2005.0
36,36,51,light_rail,Tramvia - 4,2005.0
37,38,57,light_rail,Tramvia - 4,1994.0
38,39,48,light_rail,Tramvia - 4,1994.0
39,39,1,light_rail,Tramvia - 4,1994.0
40,40,46,light_rail,Tramvia - 4,1994.0
41,42,43,light_rail,Tramvia - 4,1994.0
42,42,40,light_rail,Tramvia - 4,1994.0
43,47,38,light_rail,Tramvia - 4,1994.0
44,49,58,light_rail,Tramvia - 4,1994.0
45,49,57,light_rail,Tramvia - 4,1994.0
46,50,37,light_rail,Tramvia - 4,2005.0
47,52,54,light_rail,Tramvia - 4,2005.0
48,52,56,light_rail,Tramvia - 4,2005.0
49,55,56,light_rail,Tramvia - 4,2005.0
50,22,58,light_rail,Tramvia - 4,1994.0
51,27,24,light_rail,Tramvia - 4,1994.0
52,26,31,light_rail,Tramvia - 4,1994.0
53,32,37,light_rail,Tramvia - 4,1994.0
54,36,54,light_rail,Tramvia - 4,2005.0
55,57,4,light_rail,Tramvia - 4,1994.0
56,40,4,light_rail,Tramvia - 4,1994.0
57,59,78,light_rail,Tramvia - 6,2007.0
58,60,69,light_rail,Tramvia - 6,1994.0
59,61,73,light_rail,Tramvia - 6,1994.0
60,61,69,light_rail,Tramvia - 6,1994.0
61,62,72,light_rail,Tramvia - 6,1994.0
62,62,63,light_rail,Tramvia - 6,1994.0
63,63,74,light_rail,Tramvia - 6,1994.0
64,64,75,light_rail,Tramvia - 6,1994.0
65,65,79,light_rail,Tramvia - 6,2007.0
66,65,78,light_rail,Tramvia - 6,2007.0
67,66,91,light_rail,Tramvia - 6,1994.0
68,67,76,light_rail,Tramvia - 6,1994.0
69,67,60,light_rail,Tramvia - 6,1994.0
70,68,74,light_rail,Tramvia - 6,1994.0
71,70,71,light_rail,Tramvia - 6,1994.0
72,70,68,light_rail,Tramvia - 6,1994.0
73,71,65,light_rail,Tramvia - 6,2007.0
74,75,66,light_rail,Tramvia - 6,1994.0
75,77,78,light_rail,Tramvia - 6,2007.0
76,80,92,light_rail,Tramvia - 6,1994.0
77,80,82,light_rail,Tramvia - 6,2007.0
78,81,83,light_rail,Tramvia - 6,2007.0
79,82,84,light_rail,Tramvia - 6,2007.0
80,83,85,light_rail,Tramvia - 6,2007.0
81,85,86,light_rail,Tramvia - 6,2007.0
82,87,88,light_rail,Tramvia - 6,2007.0
83,88,89,light_rail,Tramvia - 6,2007.0
84,89,90,light_rail,Tramvia - 6,2007.0
85,91,80,light_rail,Tramvia - 6,1994.0
