nodeID,nodeLabel,latitude,longitude,mode,year
0,Francia,-71.6130931,-33.043871,heavy_rail,2005.0
1,Hospital,-71.5429522,-33.0285637,heavy_rail,2005.0
2,Puerto,-71.6262935,-33.0391564,heavy_rail,2005.0
3,Diego Portales,-71.60366153485982,-33.043029293362586,people_mover,1906.0
4,Avenida España,-71.60413778458053,-33.04317958846994,people_mover,1906.0
5,Plaza Aduana,-71.63008230531408,-33.033786641237825,people_mover,1892.0
6,Paseo 21 de Mayo,-71.63046123172683,-33.032431635692966,people_mover,1892.0
7,Almirante Muñoz,-71.63026272419069,-33.037817924448085,people_mover,1894.0
8,Castillo,-71.63060404773428,-33.037995247536344,people_mover,1894.0
9,Prat,-71.62608669713711,-33.040961884061936,people_mover,1883.0
10,Paseo Gervasioni,-71.6263494535177,-33.04132803590482,people_mover,1883.0
11,Plaza de la Justicia,-71.62940698228796,-33.03961168602384,people_mover,1901.0
12,Paseo Yugoslavo,-71.62919199979872,-33.0401723640009,people_mover,1901.0
13,Elías,-71.62638341083888,-33.04399824347078,people_mover,1903.0
14,Paseo Dimalow,-71.62662581860076,-33.043831989744284,people_mover,1903.0
15,Aldunate,-71.62127537435519,-33.04733721824511,people_mover,1911.0
16,Rudolph,-71.62156592427024,-33.04786423173071,people_mover,1911.0
17,José Tomás Ramos,-71.6316934949832,-33.04060404765159,people_mover,1913.0
18,Canal,-71.63242273047403,-33.0403773830711,people_mover,1913.0
19,Polanco Inferior,-71.60057141181606,-33.05104889685169,people_mover,1911.0
20,Polanco Superior,-71.59860259293463,-33.0502628195369,people_mover,1911.0
21,El Salto,-71.5209919,-33.0414929,None,0.0
