nodeID_from,nodeID_to,mode,line,year
0,4,default,Sistema Ferroviario Metropolitano Regionale - Linea 2,0
0,5,default,Sistema Ferroviario Metropolitano Regionale - Linea 2,0
1,7,default,Sistema Ferroviario Metropolitano Regionale - Linea 2,0
1,2,default,Sistema Ferroviario Metropolitano Regionale - Linea 2,0
2,5,default,Sistema Ferroviario Metropolitano Regionale - Linea 2,0
3,4,default,Sistema Ferroviario Metropolitano Regionale - Linea 2,0
6,7,default,Sistema Ferroviario Metropolitano Regionale - Linea 2,0
8,13,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
9,15,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
10,12,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
11,12,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
11,13,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
14,8,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
15,14,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
13,14,default,Sistema Ferroviario Metropolitano Regionale - Linea 1,0
