nodeID,nodeLabel,latitude,longitude,mode,year
0,Stazione di Venezia Mestre,12.23199373799298,45.48210516684475,default,0.0
1,Preganziol,12.23147358363073,45.60361455750345,default,0.0
2,Mogliano Veneto,12.23282381535978,45.561897423258245,default,1851.0
3,Venezia Santa Lucia,12.321007820799176,45.44164865766708,default,1861.0
4,Stazione di Venezia Porto Marghera,12.255987325883893,45.47253659089975,default,0.0
5,Venezia Mestre Ospedale,12.225754201375082,45.5132978173431,default,2008.0
6,Treviso Centrale,12.244887992285356,45.65971543429322,default,1851.0
7,San Trovaso,12.232712126101347,45.62571454051326,default,2008.0
8,Venezia Mestre,12.23199386192627,45.48210612275062,default,1907.0
9,Quarto d'Altino,12.365103214578312,45.57463305350606,default,0.0
10,Venezia Santa Lucia,12.3210075374723,45.4416487614311,default,1861.0
11,Stazione di Venezia Porto Marghera,12.255987266089793,45.472536654595345,default,1842.0
12,Venezia Porto Marghera,12.255987661808604,45.47253683981316,default,0.0
13,Venezia Mestre,12.231993522961346,45.48210507736914,default,1907.0
14,Venezia Carpenedo,12.24757463385913,45.50666946911633,default,0.0
15,Gaggio Porta Est,12.313900956351688,45.54495249174309,default,2008.0
