nodeID_from,nodeID_to,mode,line,year
7,25,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
7,26,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2001
8,10,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2001
8,9,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2005
9,27,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2006
10,26,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2001
11,17,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
12,13,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2008
13,14,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2008
14,15,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2008
15,16,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2008
16,27,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,2006
17,18,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
18,19,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
19,20,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
20,21,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
21,22,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
22,23,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
23,24,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
24,25,heavy_rail,Metro Warszawskie Sp. z.o.o. - Linia M1,1998
