nodeID_from,nodeID_to,mode,line,year
0,2,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
0,11,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
1,2,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
3,9,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
3,4,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
4,5,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
5,6,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
6,7,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
7,8,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
8,11,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
9,10,light_rail,Winnipeg Transit - MBMetroRail - University Line,2017
12,14,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
13,14,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
13,25,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
15,26,light_rail,Winnipeg Transit - MBMetroRail - River Line,2020
16,19,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
16,27,light_rail,Winnipeg Transit - MBMetroRail - River Line,2019
17,22,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
17,12,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
18,24,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
18,22,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
19,21,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
20,21,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
20,25,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
23,24,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
26,27,light_rail,Winnipeg Transit - MBMetroRail - River Line,2019
28,23,light_rail,Winnipeg Transit - MBMetroRail - River Line,2018
29,33,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
30,32,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
30,31,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
31,37,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
32,33,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
34,35,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2017
34,29,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
35,40,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2018
36,37,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
36,38,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2016
39,40,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2018
39,41,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2017
41,43,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2017
42,47,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2020
43,48,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2017
44,39,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2018
44,45,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2018
45,46,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2020
46,47,light_rail,Winnipeg Transit - MBMetroRail - Manitoba Line,2020
49,54,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2017
49,63,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2017
50,52,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2021
50,51,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2021
52,67,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2021
53,56,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2018
53,57,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2020
54,60,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2016
55,61,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2020
55,62,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2020
56,68,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2018
57,59,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2020
58,60,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2017
58,68,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2017
59,64,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2020
61,69,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2017
62,65,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2020
63,69,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2017
65,66,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2020
66,67,light_rail,Winnipeg Transit - MBMetroRail - Canada Line,2021
70,75,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2016
71,79,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2017
71,76,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2017
72,74,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2017
72,73,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2017
73,79,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2017
75,78,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2016
77,78,light_rail,Winnipeg Transit - MBMetroRail - Airport Line,2016
