node_from,node_to,weight
0,1,1
0,8,1
0,9,1
0,16,1
0,29,1
0,36,1
0,41,1
0,46,1
0,55,1
0,66,1
0,77,1
0,82,1
0,89,1
0,92,1
0,98,1
0,101,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,35,1
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
1,48,1
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,56,1
1,57,1
1,58,1
1,59,1
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,65,1
1,67,1
1,68,1
1,69,1
1,70,1
1,71,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,90,1
1,91,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,99,1
1,100,1
1,102,1
1,103,1
1,104,1
1,105,1
1,106,1
2,4,1
2,5,1
2,18,1
2,19,1
2,37,1
2,65,1
2,69,1
2,80,1
2,90,1
2,91,1
2,106,1
3,25,1
3,30,1
3,39,1
3,44,1
3,50,1
3,57,1
3,62,1
3,63,1
3,73,1
3,76,1
3,86,1
3,87,1
3,88,1
3,99,1
4,5,1
4,37,1
4,40,1
4,43,1
4,59,1
4,65,1
4,69,1
4,90,1
4,91,1
4,106,1
5,40,1
5,43,1
5,59,1
7,15,1
7,72,1
8,9,1
8,16,1
8,29,1
8,36,1
8,46,1
8,66,1
8,77,1
8,82,1
8,92,1
9,16,1
9,29,1
9,36,1
9,46,1
9,66,1
9,77,1
9,92,1
10,27,1
10,47,1
10,74,1
11,28,1
11,34,1
11,93,1
12,42,1
12,94,1
13,14,1
13,17,1
13,32,1
13,35,1
13,45,1
13,52,1
13,54,1
13,68,1
13,79,1
13,83,1
13,102,1
14,35,1
14,68,1
14,83,1
17,32,1
17,52,1
17,102,1
19,80,1
20,51,1
20,64,1
20,78,1
21,33,1
25,50,1
25,63,1
25,73,1
27,74,1
28,34,1
28,93,1
29,36,1
29,66,1
29,92,1
36,66,1
36,92,1
38,71,1
38,104,1
39,44,1
39,76,1
41,55,1
50,63,1
50,73,1
51,64,1
51,78,1
58,81,1
63,73,1
71,104,1
89,98,1
