node_from,node_to,weight
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,25,1
0,26,1
0,27,1
0,30,1
0,31,1
0,32,1
0,33,1
0,38,1
0,40,1
0,41,1
0,42,1
0,44,1
0,45,1
0,46,1
0,49,1
0,51,1
0,52,1
0,53,1
0,57,1
0,59,1
0,60,1
0,61,1
0,64,1
0,65,1
0,66,1
0,68,1
0,69,1
0,70,1
0,71,1
0,73,1
0,75,1
0,77,1
0,78,1
0,80,1
0,82,1
0,83,1
0,84,1
0,85,1
0,87,1
0,88,1
0,89,1
0,90,1
0,92,1
0,94,1
0,95,1
0,99,1
0,100,1
0,102,1
0,103,1
0,106,1
0,108,1
0,109,1
0,110,1
0,111,1
0,113,1
0,114,1
0,116,1
0,118,1
0,120,1
0,121,1
0,122,1
0,125,1
0,126,1
0,127,1
0,129,1
0,130,1
0,131,1
0,132,1
0,133,1
0,135,1
0,136,1
0,139,1
0,140,1
0,142,1
0,143,1
0,146,1
0,147,1
0,150,1
0,151,1
0,153,1
0,154,1
0,157,1
0,158,1
0,160,1
0,161,1
0,163,1
0,165,1
0,166,1
0,168,1
0,169,1
0,170,1
0,171,1
0,172,1
0,173,1
0,174,1
0,177,1
0,178,1
0,179,1
0,180,1
0,182,1
0,184,1
0,185,1
0,186,1
0,191,1
0,192,1
0,194,1
0,195,1
0,198,1
0,200,1
0,201,1
0,202,1
0,203,1
0,204,1
0,206,1
0,214,1
0,215,1
0,216,1
0,218,1
0,221,1
0,223,1
0,224,1
0,225,1
0,226,1
0,227,1
0,228,1
0,234,1
0,235,1
0,240,1
0,241,1
0,242,1
0,244,1
0,245,1
0,246,1
0,247,1
0,250,1
0,251,1
0,252,1
0,254,1
0,256,1
0,257,1
0,258,1
0,259,1
0,260,1
0,261,1
0,262,1
0,266,1
0,268,1
0,269,1
0,273,1
0,275,1
0,276,1
0,277,1
0,278,1
0,279,1
0,280,1
0,281,1
0,282,1
0,283,1
0,289,1
0,291,1
0,292,1
0,293,1
0,295,1
0,297,1
0,301,1
0,303,1
0,306,1
0,309,1
0,310,1
0,311,1
0,312,1
0,316,1
0,320,1
0,321,1
0,329,1
0,331,1
0,334,1
0,340,1
0,345,1
0,346,1
0,351,1
0,354,1
0,356,1
0,358,1
0,359,1
0,361,1
0,364,1
0,365,1
0,368,1
0,369,1
0,372,1
0,373,1
0,374,1
0,375,1
0,376,1
0,377,1
0,379,1
0,383,1
0,386,1
0,387,1
0,390,1
0,392,1
0,397,1
0,398,1
0,399,1
0,405,1
0,406,1
0,408,1
0,409,1
0,410,1
0,411,1
0,413,1
0,414,1
0,416,1
0,421,1
0,425,1
0,432,1
0,433,1
0,435,1
0,438,1
0,446,1
0,448,1
0,454,1
0,457,1
0,460,1
0,464,1
0,465,1
0,467,1
0,471,1
0,473,1
0,474,1
0,477,1
0,478,1
0,480,1
0,481,1
0,483,1
0,484,1
0,486,1
0,496,1
0,500,1
0,501,1
0,502,1
0,504,1
0,507,1
0,508,1
0,510,1
0,512,1
0,514,1
0,515,1
0,517,1
0,524,1
0,525,1
0,526,1
0,527,1
0,529,1
0,530,1
0,531,1
0,536,1
0,537,1
0,541,1
0,545,1
0,546,1
0,547,1
0,549,1
0,553,1
0,556,1
0,557,1
0,562,1
0,563,1
0,564,1
0,565,1
0,569,1
0,571,1
0,572,1
0,576,1
0,579,1
0,580,1
0,581,1
0,587,1
0,589,1
0,590,1
0,592,1
0,594,1
0,598,1
0,600,1
0,602,1
0,603,1
0,606,1
0,608,1
0,610,1
0,612,1
0,614,1
0,617,1
0,621,1
0,622,1
0,624,1
0,627,1
0,628,1
0,630,1
0,633,1
0,634,1
0,635,1
0,636,1
0,639,1
0,642,1
0,644,1
0,649,1
0,651,1
0,653,1
0,659,1
0,661,1
0,662,1
0,664,1
0,667,1
0,668,1
0,671,1
0,674,1
0,675,1
0,679,1
0,681,1
0,682,1
0,684,1
0,686,1
0,693,1
0,694,1
0,695,1
0,696,1
0,701,1
0,704,1
0,706,1
0,708,1
0,710,1
0,712,1
0,715,1
0,718,1
0,719,1
0,721,1
0,722,1
0,725,1
0,727,1
0,728,1
0,729,1
0,730,1
0,732,1
0,733,1
0,736,1
0,738,1
0,743,1
0,745,1
0,747,1
0,751,1
0,752,1
0,753,1
0,755,1
0,757,1
0,762,1
0,765,1
0,766,1
0,767,1
0,768,1
0,769,1
0,770,1
0,771,1
0,772,1
0,773,1
0,775,1
0,778,1
0,780,1
0,784,1
0,785,1
0,786,1
0,787,1
0,789,1
0,790,1
0,792,1
0,798,1
0,799,1
0,802,1
0,805,1
0,806,1
0,808,1
0,809,1
0,813,1
0,814,1
0,816,1
0,821,1
0,824,1
0,825,1
0,827,1
0,830,1
0,832,1
0,834,1
0,837,1
0,838,1
0,840,1
0,842,1
0,843,1
0,846,1
0,850,1
0,852,1
0,854,1
0,855,1
0,857,1
0,861,1
0,864,1
0,865,1
0,866,1
0,867,1
0,868,1
0,869,1
0,873,1
0,874,1
0,876,1
0,879,1
0,881,1
0,883,1
0,884,1
0,886,1
0,887,1
0,889,1
2,28,1
2,29,1
2,35,1
2,36,1
2,37,1
2,47,1
2,54,1
2,63,1
2,74,1
2,98,1
2,101,1
2,141,1
2,145,1
2,167,1
2,176,1
2,181,1
2,189,1
2,190,1
2,197,1
2,211,1
2,238,1
2,249,1
2,253,1
2,255,1
2,264,1
2,265,1
2,271,1
2,284,1
2,302,1
2,304,1
2,317,1
2,323,1
2,328,1
2,339,1
2,341,1
2,343,1
2,350,1
2,371,1
2,380,1
2,389,1
2,394,1
2,395,1
2,403,1
2,412,1
2,427,1
2,430,1
2,434,1
2,437,1
2,441,1
2,447,1
2,449,1
2,451,1
2,455,1
2,461,1
2,463,1
2,468,1
2,482,1
2,490,1
2,492,1
2,498,1
2,505,1
2,516,1
2,523,1
2,538,1
2,539,1
2,543,1
2,551,1
2,555,1
2,570,1
2,574,1
2,578,1
2,583,1
2,585,1
2,591,1
2,593,1
2,595,1
2,599,1
2,601,1
2,609,1
2,620,1
2,623,1
2,625,1
2,629,1
2,640,1
2,641,1
2,645,1
2,646,1
2,648,1
2,666,1
2,678,1
2,699,1
2,711,1
2,716,1
2,717,1
2,723,1
2,731,1
2,737,1
2,742,1
2,744,1
2,754,1
2,760,1
2,777,1
2,783,1
2,791,1
2,793,1
2,795,1
2,797,1
2,800,1
2,803,1
2,807,1
2,815,1
2,817,1
2,818,1
2,835,1
2,859,1
2,870,1
2,882,1
2,891,1
3,7,1
3,156,1
3,382,1
3,391,1
3,407,1
3,424,1
3,428,1
3,513,1
3,519,1
3,528,1
3,548,1
3,558,1
3,611,1
3,626,1
3,650,1
3,663,1
3,764,1
3,810,1
3,848,1
3,863,1
5,17,1
5,18,1
5,93,1
5,96,1
5,104,1
5,123,1
5,124,1
5,128,1
5,144,1
5,152,1
5,188,1
5,193,1
5,207,1
5,213,1
5,219,1
5,231,1
5,232,1
5,270,1
5,274,1
5,288,1
5,307,1
5,315,1
5,322,1
5,326,1
5,327,1
5,332,1
5,336,1
5,342,1
5,344,1
5,347,1
5,349,1
5,363,1
5,400,1
5,401,1
5,415,1
5,426,1
5,431,1
5,440,1
5,443,1
5,444,1
5,453,1
5,466,1
5,470,1
5,487,1
5,489,1
5,494,1
5,503,1
5,509,1
5,520,1
5,542,1
5,544,1
5,550,1
5,554,1
5,561,1
5,567,1
5,577,1
5,586,1
5,596,1
5,597,1
5,604,1
5,607,1
5,613,1
5,638,1
5,658,1
5,660,1
5,669,1
5,670,1
5,677,1
5,689,1
5,692,1
5,720,1
5,740,1
5,750,1
5,763,1
5,781,1
5,819,1
5,820,1
5,860,1
5,875,1
5,892,1
11,50,1
11,72,1
11,119,1
11,212,1
11,217,1
11,222,1
11,272,1
11,314,1
11,370,1
11,479,1
11,499,1
11,540,1
11,566,1
11,672,1
11,685,1
11,707,1
11,724,1
11,726,1
11,759,1
11,823,1
12,62,1
12,187,1
12,248,1
12,381,1
12,420,1
12,422,1
12,456,1
12,521,1
12,533,1
12,582,1
12,643,1
12,697,1
12,713,1
12,714,1
12,796,1
12,811,1
12,812,1
12,833,1
12,853,1
12,877,1
14,24,1
14,34,1
14,39,1
14,43,1
14,48,1
14,56,1
14,58,1
14,67,1
14,79,1
14,81,1
14,86,1
14,91,1
14,97,1
14,105,1
14,112,1
14,115,1
14,134,1
14,137,1
14,138,1
14,148,1
14,149,1
14,155,1
14,159,1
14,164,1
14,175,1
14,183,1
14,205,1
14,209,1
14,210,1
14,220,1
14,237,1
14,263,1
14,267,1
14,285,1
14,290,1
14,294,1
14,299,1
14,300,1
14,308,1
14,313,1
14,319,1
14,324,1
14,325,1
14,330,1
14,333,1
14,337,1
14,355,1
14,357,1
14,360,1
14,362,1
14,366,1
14,367,1
14,384,1
14,385,1
14,388,1
14,393,1
14,396,1
14,402,1
14,404,1
14,418,1
14,419,1
14,423,1
14,429,1
14,442,1
14,450,1
14,469,1
14,475,1
14,488,1
14,495,1
14,506,1
14,522,1
14,534,1
14,535,1
14,560,1
14,568,1
14,573,1
14,584,1
14,605,1
14,615,1
14,618,1
14,619,1
14,632,1
14,647,1
14,652,1
14,654,1
14,655,1
14,657,1
14,676,1
14,683,1
14,687,1
14,688,1
14,698,1
14,700,1
14,702,1
14,703,1
14,705,1
14,734,1
14,746,1
14,749,1
14,758,1
14,761,1
14,774,1
14,776,1
14,779,1
14,782,1
14,788,1
14,794,1
14,801,1
14,822,1
14,826,1
14,828,1
14,829,1
14,831,1
14,836,1
14,845,1
14,849,1
14,856,1
14,858,1
23,55,1
23,338,1
23,452,1
23,497,1
23,559,1
23,665,1
23,673,1
23,847,1
44,162,1
44,229,1
44,230,1
44,233,1
44,296,1
44,298,1
44,305,1
44,352,1
44,458,1
44,472,1
44,511,1
44,518,1
44,552,1
44,575,1
44,631,1
44,680,1
44,804,1
44,844,1
44,862,1
44,872,1
45,107,1
45,208,1
45,286,1
45,353,1
45,378,1
45,445,1
45,459,1
45,476,1
45,588,1
45,616,1
45,637,1
45,690,1
45,691,1
45,709,1
45,741,1
45,839,1
45,851,1
45,871,1
45,878,1
45,880,1
51,76,1
51,239,1
51,335,1
51,417,1
51,735,1
51,756,1
51,888,1
51,890,1
82,117,1
82,196,1
82,199,1
82,236,1
82,243,1
82,287,1
82,318,1
82,348,1
82,436,1
82,439,1
82,462,1
82,485,1
82,491,1
82,493,1
82,532,1
82,656,1
82,739,1
82,748,1
82,841,1
82,885,1
