node_from,node_to,weight
0,7,1
0,29,1
0,116,1
0,119,1
0,589,1
0,598,1
0,1539,1
0,2283,1
0,470,1
0,2087,1
0,2373,1
0,1449,1
0,1963,1
0,1228,1
0,2190,1
0,1070,1
0,219,1
0,1815,1
0,706,1
0,1272,1
0,1229,1
0,1001,1
0,702,1
0,1616,1
0,843,1
0,1045,1
0,1746,1
0,312,1
0,1170,1
0,2001,1
0,2143,1
0,451,1
0,2416,1
0,2239,1
0,1769,1
0,1944,1
0,1548,1
0,1856,1
0,383,1
0,664,1
0,2276,1
0,2442,1
0,937,1
0,1074,1
0,1190,1
0,1626,1
0,1205,1
0,2230,1
0,1980,1
0,855,1
0,362,1
0,2038,1
0,299,1
0,573,1
0,1722,1
0,2267,1
0,1825,1
0,2405,1
0,1657,1
0,629,1
0,659,1
0,1639,1
0,2290,1
0,1123,1
0,1243,1
0,1225,1
0,1708,1
0,501,1
0,832,1
0,1128,1
0,2260,1
0,2496,1
0,225,1
0,1751,1
0,1969,1
0,1031,1
0,1284,1
0,169,1
0,1345,1
0,827,1
0,276,1
0,1293,1
0,1117,1
0,1484,1
0,905,1
0,1839,1
0,654,1
0,1061,1
0,2236,1
0,2311,1
0,1578,1
0,913,1
0,2447,1
0,714,1
0,2491,1
0,1242,1
0,2303,1
0,974,1
0,1917,1
0,1096,1
0,2275,1
0,2166,1
0,2182,1
0,1262,1
0,2120,1
0,156,1
0,850,1
0,1628,1
0,1519,1
0,874,1
0,726,1
0,648,1
0,1630,1
0,2463,1
0,612,1
0,1294,1
0,1110,1
0,189,1
0,495,1
0,1646,1
0,1970,1
0,2352,1
0,998,1
0,655,1
0,1030,1
0,1452,1
0,441,1
0,1169,1
0,2324,1
0,1829,1
0,563,1
0,1002,1
0,482,1
0,1182,1
0,430,1
0,2461,1
0,2489,1
0,737,1
0,2487,1
0,1715,1
0,1858,1
0,2231,1
0,2395,1
0,1386,1
0,2406,1
0,2124,1
0,352,1
0,917,1
0,2458,1
0,427,1
0,836,1
0,2259,1
0,870,1
0,1127,1
0,760,1
0,1035,1
0,997,1
0,1414,1
0,498,1
0,1531,1
0,1079,1
0,1353,1
0,1027,1
0,1274,1
0,367,1
0,2086,1
0,2357,1
0,1467,1
0,330,1
0,2054,1
0,492,1
0,1159,1
0,1775,1
0,1573,1
0,2309,1
0,1939,1
0,2191,1
0,643,1
0,681,1
0,857,1
0,409,1
0,943,1
0,426,1
0,652,1
0,876,1
0,1824,1
0,1179,1
0,2021,1
0,2272,1
0,2293,1
0,1032,1
0,420,1
0,1690,1
0,1852,1
0,1053,1
0,1978,1
0,2383,1
0,582,1
0,732,1
0,1326,1
0,2164,1
0,1033,1
0,1318,1
0,1451,1
0,1696,1
0,1932,1
0,1245,1
0,2013,1
0,634,1
0,1583,1
0,1314,1
0,2464,1
0,1275,1
0,537,1
0,390,1
0,899,1
0,607,1
0,1928,1
0,1235,1
0,2238,1
0,742,1
0,1503,1
0,466,1
0,2076,1
0,228,1
0,893,1
0,1834,1
0,1454,1
0,2494,1
0,1492,1
0,973,1
0,1509,1
0,1532,1
0,1552,1
1,673,1
1,1726,1
1,924,1
1,1089,1
1,1656,1
1,1259,1
1,1607,1
1,847,1
1,242,1
1,1040,1
1,1958,1
1,2467,1
1,1948,1
1,1296,1
1,1809,1
1,328,1
1,1081,1
1,1334,1
1,2084,1
1,2488,1
1,257,1
1,930,1
1,291,1
1,531,1
1,2053,1
1,2125,1
1,703,1
1,1436,1
1,440,1
1,1885,1
1,616,1
1,361,1
1,1753,1
1,413,1
1,636,1
1,1014,1
1,2399,1
1,1225,1
1,493,1
1,1158,1
1,324,1
1,1232,1
1,1915,1
1,284,1
1,1764,1
1,268,1
1,1085,1
1,1575,1
1,1321,1
1,1227,1
1,1185,1
2,709,1
2,729,1
2,741,1
2,1133,1
2,113,1
2,591,1
2,1057,1
2,1425,1
2,724,1
2,1373,1
2,1465,1
2,2387,1
2,248,1
2,1494,1
2,2039,1
2,1238,1
2,2241,1
2,1442,1
2,1938,1
2,1929,1
2,2274,1
2,1127,1
2,428,1
2,1095,1
2,1273,1
2,1038,1
2,376,1
2,337,1
2,1404,1
2,1872,1
2,1234,1
2,2266,1
2,65,1
2,1041,1
2,1731,1
2,2351,1
2,1207,1
2,434,1
2,490,1
2,306,1
2,308,1
2,1181,1
2,1989,1
2,355,1
2,535,1
2,2247,1
2,2206,1
2,1546,1
2,1489,1
2,599,1
2,1828,1
2,2460,1
2,2434,1
2,992,1
2,1209,1
2,1945,1
2,671,1
2,1496,1
2,178,1
3,776,1
3,790,1
3,1908,1
3,1490,1
3,1422,1
3,2496,1
3,2109,1
3,562,1
3,1306,1
3,475,1
3,1918,1
3,165,1
3,835,1
3,1675,1
3,624,1
3,436,1
3,1633,1
3,2391,1
3,2055,1
3,663,1
3,628,1
3,2441,1
3,546,1
3,2384,1
3,569,1
3,1814,1
3,2449,1
3,1298,1
3,2426,1
3,1090,1
3,692,1
3,597,1
3,1161,1
3,1082,1
3,1765,1
3,459,1
3,719,1
3,1458,1
3,462,1
3,406,1
3,982,1
3,1899,1
3,1172,1
3,748,1
3,1628,1
3,1700,1
3,2443,1
3,1759,1
3,258,1
3,1827,1
3,549,1
3,361,1
3,148,1
