node_from,node_to,weight
0,8,1
0,16,1
0,19,1
0,23,1
0,57,1
0,77,1
0,86,1
0,116,1
0,118,1
0,175,1
0,202,1
0,208,1
0,268,1
0,366,1
0,407,1
0,473,1
0,525,1
0,545,1
0,547,1
0,583,1
0,586,1
0,723,1
0,776,1
0,1104,1
0,1184,1
0,1280,1
0,1340,1
0,1342,1
0,1351,1
0,1438,1
0,1543,1
0,1634,1
0,1803,1
0,1847,1
1,242,1
1,955,1
2,39,1
2,630,1
2,1716,1
3,5,1
3,146,1
3,312,1
3,345,1
3,882,1
3,1007,1
3,1213,1
3,1355,1
3,1419,1
3,1458,1
3,1475,1
3,1607,1
3,1680,1
3,1762,1
3,1882,1
3,1953,1
4,5,1
4,64,1
4,213,1
4,235,1
4,570,1
4,666,1
4,690,1
4,726,1
4,789,1
4,1008,1
4,1016,1
4,1512,1
4,1544,1
4,1570,1
4,1701,1
4,1783,1
4,1959,1
5,6,1
5,10,1
5,14,1
5,15,1
5,17,1
5,23,1
5,36,1
5,37,1
5,40,1
5,45,1
5,46,1
5,52,1
5,62,1
5,63,1
5,70,1
5,77,1
5,86,1
5,102,1
5,108,1
5,117,1
5,124,1
5,142,1
5,143,1
5,144,1
5,146,1
5,151,1
5,154,1
5,157,1
5,158,1
5,160,1
5,164,1
5,167,1
5,170,1
5,183,1
5,190,1
5,191,1
5,192,1
5,199,1
5,206,1
5,210,1
5,219,1
5,222,1
5,228,1
5,230,1
5,231,1
5,232,1
5,237,1
5,238,1
5,243,1
5,244,1
5,250,1
5,256,1
5,266,1
5,271,1
5,274,1
5,278,1
5,280,1
5,285,1
5,295,1
5,297,1
5,307,1
5,311,1
5,313,1
5,314,1
5,315,1
5,318,1
5,321,1
5,328,1
5,338,1
5,342,1
5,346,1
5,347,1
5,352,1
5,355,1
5,368,1
5,375,1
5,376,1
5,389,1
5,393,1
5,403,1
5,407,1
5,410,1
5,412,1
5,423,1
5,429,1
5,431,1
5,432,1
5,440,1
5,444,1
5,457,1
5,461,1
5,469,1
5,470,1
5,471,1
5,477,1
5,481,1
5,482,1
5,483,1
5,493,1
5,497,1
5,504,1
5,508,1
5,527,1
5,536,1
5,540,1
5,543,1
5,554,1
5,562,1
5,565,1
5,572,1
5,575,1
5,577,1
5,579,1
5,582,1
5,584,1
5,587,1
5,590,1
5,592,1
5,593,1
5,594,1
5,596,1
5,597,1
5,599,1
5,603,1
5,608,1
5,610,1
5,611,1
5,627,1
5,632,1
5,633,1
5,639,1
5,640,1
5,646,1
5,647,1
5,648,1
5,652,1
5,664,1
5,667,1
5,668,1
5,671,1
5,676,1
5,678,1
5,683,1
5,685,1
5,686,1
5,692,1
5,699,1
5,702,1
5,707,1
5,719,1
5,735,1
5,739,1
5,745,1
5,750,1
5,751,1
5,755,1
5,761,1
5,771,1
5,773,1
5,780,1
5,786,1
5,799,1
5,801,1
5,803,1
5,811,1
5,813,1
5,815,1
5,825,1
5,829,1
5,840,1
5,841,1
5,855,1
5,859,1
5,878,1
5,881,1
5,886,1
5,890,1
5,903,1
5,915,1
5,919,1
5,929,1
5,941,1
5,951,1
5,972,1
5,979,1
5,984,1
5,985,1
5,989,1
5,991,1
5,992,1
5,993,1
5,999,1
5,1000,1
5,1007,1
5,1009,1
5,1012,1
5,1014,1
5,1018,1
5,1029,1
5,1032,1
5,1033,1
5,1034,1
5,1038,1
5,1051,1
5,1060,1
5,1062,1
5,1063,1
5,1064,1
5,1071,1
5,1079,1
5,1080,1
5,1088,1
5,1094,1
5,1096,1
5,1103,1
5,1107,1
5,1110,1
5,1119,1
5,1131,1
5,1151,1
5,1153,1
5,1160,1
5,1170,1
5,1172,1
5,1180,1
5,1189,1
5,1192,1
5,1206,1
5,1207,1
5,1211,1
5,1215,1
5,1220,1
5,1224,1
5,1230,1
5,1232,1
5,1238,1
5,1244,1
5,1245,1
5,1246,1
5,1253,1
5,1258,1
5,1264,1
5,1271,1
5,1285,1
5,1290,1
5,1298,1
5,1307,1
5,1311,1
5,1329,1
5,1348,1
5,1352,1
5,1355,1
5,1369,1
5,1371,1
5,1377,1
5,1384,1
5,1394,1
5,1396,1
5,1399,1
5,1400,1
5,1407,1
5,1409,1
5,1411,1
5,1429,1
5,1432,1
5,1433,1
5,1435,1
5,1440,1
5,1443,1
5,1457,1
5,1461,1
5,1467,1
5,1469,1
5,1474,1
5,1481,1
5,1484,1
5,1490,1
5,1497,1
5,1502,1
5,1505,1
5,1528,1
5,1534,1
5,1535,1
5,1536,1
5,1539,1
5,1548,1
5,1550,1
5,1552,1
5,1556,1
5,1563,1
5,1565,1
5,1577,1
5,1580,1
5,1592,1
5,1594,1
5,1611,1
5,1614,1
5,1615,1
5,1618,1
5,1619,1
5,1620,1
5,1622,1
5,1627,1
5,1630,1
5,1632,1
5,1638,1
5,1641,1
5,1647,1
5,1660,1
5,1661,1
5,1664,1
5,1679,1
5,1680,1
5,1685,1
5,1696,1
5,1697,1
5,1699,1
5,1705,1
5,1708,1
5,1715,1
5,1717,1
5,1729,1
5,1730,1
5,1739,1
5,1758,1
5,1759,1
5,1762,1
5,1765,1
5,1767,1
5,1772,1
5,1773,1
5,1786,1
5,1790,1
5,1793,1
5,1806,1
5,1808,1
5,1810,1
5,1822,1
5,1845,1
5,1861,1
5,1862,1
5,1868,1
5,1873,1
5,1878,1
5,1880,1
5,1882,1
5,1885,1
5,1889,1
5,1896,1
5,1912,1
5,1914,1
5,1918,1
5,1926,1
5,1927,1
5,1940,1
5,1942,1
5,1948,1
5,1957,1
5,1959,1
5,1961,1
5,1963,1
5,1965,1
5,1968,1
5,1971,1
5,1975,1
5,1984,1
5,1986,1
5,1996,1
5,1998,1
5,2003,1
6,10,1
6,14,1
6,15,1
6,17,1
6,33,1
6,45,1
6,46,1
6,52,1
6,62,1
6,63,1
6,77,1
6,102,1
6,106,1
6,108,1
6,117,1
6,124,1
6,134,1
6,142,1
6,143,1
6,144,1
6,151,1
6,154,1
6,160,1
6,164,1
6,167,1
6,170,1
6,183,1
6,191,1
6,192,1
6,197,1
6,199,1
6,206,1
6,210,1
6,219,1
6,228,1
6,231,1
6,237,1
6,238,1
6,243,1
6,244,1
6,256,1
6,266,1
6,271,1
6,278,1
6,285,1
6,295,1
6,297,1
6,311,1
6,313,1
6,315,1
6,318,1
6,321,1
6,328,1
6,338,1
6,342,1
6,346,1
6,347,1
6,352,1
6,355,1
6,368,1
6,375,1
6,376,1
6,389,1
6,393,1
6,403,1
6,410,1
6,412,1
6,429,1
6,440,1
6,444,1
6,450,1
6,461,1
