node_from,node_to,weight
0,3,1
0,117,1
0,373,1
0,406,1
0,748,1
0,773,1
0,797,1
0,977,1
0,1044,1
0,1049,1
1,35,1
1,106,1
1,184,1
1,387,1
1,687,1
1,928,1
2,16,1
2,17,1
2,180,1
2,794,1
3,170,1
3,501,1
3,623,1
3,705,1
4,17,1
4,26,1
4,470,1
4,497,1
4,618,1
4,760,1
4,828,1
4,853,1
4,932,1
4,954,1
5,6,1
5,27,1
5,61,1
5,70,1
5,72,1
5,107,1
5,134,1
5,136,1
5,274,1
5,472,1
5,617,1
5,630,1
5,757,1
5,783,1
5,876,1
5,967,1
5,982,1
5,1028,1
6,7,1
6,8,1
6,9,1
6,11,1
6,12,1
6,14,1
6,16,1
6,17,1
6,19,1
6,22,1
6,23,1
6,26,1
6,29,1
6,32,1
6,33,1
6,40,1
6,41,1
6,42,1
6,46,1
6,49,1
6,51,1
6,53,1
6,54,1
6,55,1
6,57,1
6,58,1
6,59,1
6,79,1
6,81,1
6,87,1
6,97,1
6,98,1
6,99,1
6,100,1
6,108,1
6,110,1
6,111,1
6,113,1
6,119,1
6,120,1
6,127,1
6,131,1
6,133,1
6,137,1
6,141,1
6,143,1
6,144,1
6,145,1
6,151,1
6,152,1
6,157,1
6,159,1
6,160,1
6,161,1
6,169,1
6,170,1
6,171,1
6,173,1
6,182,1
6,187,1
6,188,1
6,190,1
6,191,1
6,192,1
6,194,1
6,199,1
6,201,1
6,207,1
6,220,1
6,225,1
6,226,1
6,230,1
6,232,1
6,233,1
6,238,1
6,242,1
6,253,1
6,255,1
6,256,1
6,257,1
6,261,1
6,262,1
6,263,1
6,266,1
6,267,1
6,269,1
6,270,1
6,284,1
6,291,1
6,293,1
6,294,1
6,298,1
6,308,1
6,310,1
6,311,1
6,312,1
6,315,1
6,318,1
6,326,1
6,327,1
6,331,1
6,335,1
6,336,1
6,340,1
6,344,1
6,347,1
6,349,1
6,355,1
6,361,1
6,362,1
6,364,1
6,365,1
6,372,1
6,376,1
6,379,1
6,381,1
6,384,1
6,390,1
6,403,1
6,404,1
6,407,1
6,412,1
6,419,1
6,421,1
6,422,1
6,427,1
6,428,1
6,431,1
6,435,1
6,442,1
6,447,1
6,455,1
6,457,1
6,459,1
6,464,1
6,469,1
6,475,1
6,479,1
6,483,1
6,485,1
6,486,1
6,488,1
6,492,1
6,507,1
6,508,1
6,513,1
6,515,1
6,516,1
6,517,1
6,519,1
6,522,1
6,527,1
6,532,1
6,533,1
6,538,1
6,539,1
6,540,1
6,541,1
6,545,1
6,547,1
6,555,1
6,559,1
6,560,1
6,563,1
6,564,1
6,567,1
6,570,1
6,571,1
6,573,1
6,575,1
6,579,1
6,583,1
6,586,1
6,589,1
6,590,1
6,593,1
6,596,1
6,602,1
6,608,1
6,613,1
6,615,1
6,616,1
6,619,1
6,626,1
6,627,1
6,628,1
6,632,1
6,634,1
6,636,1
6,639,1
6,640,1
6,646,1
6,647,1
6,649,1
6,653,1
6,656,1
6,657,1
6,665,1
6,669,1
6,678,1
6,680,1
6,683,1
6,688,1
6,693,1
6,695,1
6,698,1
6,699,1
6,700,1
6,702,1
6,708,1
6,714,1
6,717,1
6,719,1
6,720,1
6,722,1
6,726,1
6,742,1
6,745,1
6,750,1
6,753,1
6,755,1
6,761,1
6,762,1
6,763,1
6,764,1
6,765,1
6,772,1
6,780,1
6,785,1
6,786,1
6,792,1
6,794,1
6,795,1
6,800,1
6,801,1
6,802,1
6,804,1
6,806,1
6,812,1
6,813,1
6,815,1
6,824,1
6,829,1
6,832,1
6,833,1
6,834,1
6,839,1
6,844,1
6,845,1
6,852,1
6,855,1
6,858,1
6,861,1
6,864,1
6,869,1
6,873,1
6,876,1
6,881,1
6,883,1
6,886,1
6,891,1
6,895,1
6,898,1
6,901,1
6,903,1
6,905,1
6,907,1
6,908,1
6,909,1
6,910,1
6,911,1
6,917,1
6,918,1
6,922,1
6,924,1
6,927,1
6,929,1
6,934,1
6,935,1
6,938,1
6,939,1
6,941,1
6,944,1
6,948,1
6,953,1
6,957,1
6,959,1
6,962,1
6,964,1
6,965,1
6,969,1
6,971,1
6,972,1
6,974,1
6,976,1
6,979,1
6,986,1
6,987,1
6,990,1
6,993,1
6,1001,1
6,1004,1
6,1005,1
6,1014,1
6,1017,1
6,1018,1
6,1019,1
6,1020,1
6,1023,1
6,1027,1
6,1029,1
6,1031,1
6,1032,1
6,1036,1
6,1039,1
6,1042,1
6,1045,1
6,1046,1
6,1047,1
6,1048,1
6,1055,1
6,1058,1
6,1060,1
6,1065,1
6,1066,1
6,1067,1
6,1069,1
6,1070,1
6,1078,1
6,1080,1
6,1082,1
6,1083,1
6,1085,1
6,1086,1
6,1087,1
6,1090,1
7,25,1
7,30,1
7,132,1
7,333,1
7,339,1
7,666,1
7,716,1
7,779,1
7,887,1
7,1024,1
8,11,1
8,42,1
8,86,1
8,88,1
8,114,1
8,122,1
8,142,1
8,149,1
8,198,1
8,276,1
8,286,1
8,288,1
8,320,1
8,337,1
8,370,1
8,371,1
8,393,1
8,452,1
8,506,1
8,507,1
8,561,1
8,569,1
8,604,1
8,766,1
8,790,1
8,821,1
8,870,1
9,16,1
9,204,1
9,523,1
9,603,1
9,711,1
9,784,1
9,984,1
11,28,1
11,92,1
11,276,1
11,379,1
11,480,1
11,597,1
11,960,1
12,154,1
12,227,1
12,339,1
12,799,1
12,863,1
12,877,1
12,906,1
13,17,1
13,37,1
13,43,1
13,50,1
13,58,1
13,73,1
13,74,1
13,89,1
13,91,1
13,95,1
13,101,1
13,106,1
13,115,1
13,116,1
13,120,1
13,146,1
13,147,1
13,162,1
13,178,1
13,184,1
13,204,1
13,213,1
13,216,1
13,235,1
13,273,1
13,277,1
13,287,1
13,289,1
13,296,1
13,323,1
13,363,1
13,424,1
13,443,1
13,448,1
13,456,1
13,503,1
13,513,1
13,518,1
13,577,1
13,591,1
13,607,1
13,624,1
13,625,1
13,643,1
13,644,1
13,672,1
13,681,1
13,684,1
13,689,1
13,692,1
13,711,1
13,724,1
13,729,1
13,733,1
13,737,1
13,740,1
13,771,1
13,774,1
13,791,1
13,823,1
13,847,1
13,851,1
13,857,1
13,866,1
13,871,1
13,919,1
13,950,1
13,970,1
13,975,1
13,981,1
13,988,1
13,992,1
13,1013,1
13,1026,1
13,1030,1
13,1035,1
13,1051,1
13,1053,1
13,1059,1
13,1072,1
14,24,1
14,29,1
14,65,1
14,118,1
14,123,1
14,405,1
14,423,1
14,663,1
14,707,1
15,178,1
15,248,1
